Seller_ID,Company_Name,Country_of_Origin,Address,Years_Active,Annual_Revenue_USD,Total_Products,Avg_Customer_Rating,Verified_Status,Return_Policy_Days,Shipping_Countries,Customer_Service_Score,Dispute_Resolution_Rate,Payment_Methods_Accepted,Social_Media_Presence,Industry_Certifications
S001,TechGadgets Inc.,USA,"123 Main St, New York, NY 10001",8,5200000,1250,4.7,Verified,30,Worldwide,9.2,98%,"Credit Card, PayPal, Apple Pay",High,ISO 9001
S002,EcoFriendly Goods,Canada,"456 Green Ave, Toronto, ON M5V 2H1",3,750000,320,4.2,Verified,14,North America,8.5,95%,"Credit Card, PayPal",Medium,FSC Certified
S003,LuxuryBrands Co.,France,"789 Champs-Élysées, Paris 75008",12,15000000,580,4.9,Verified,60,Europe; North America,9.8,99%,"Credit Card, Bank Transfer, Crypto",High,None
S004,BargainDeals,China,"101 Cheap St, Shenzhen 518000",2,300000,5000,3.5,Not Verified,7,Asia,6.8,80%,"Credit Card, Alipay",Low,None
S005,HomeEssentials,UK,"202 Cozy Ln, London EC1A 1BB",6,2800000,750,4.5,Verified,28,Europe,8.9,97%,"Credit Card, PayPal, Google Pay",Medium,ISO 14001
S006,SportyGear,Germany,"303 Athlete Blvd, Berlin 10115",9,7500000,980,4.6,Verified,21,Worldwide,9.0,96%,"Credit Card, PayPal, Sofort",High,TÜV Certified
S007,BeautySecrets,South Korea,"404 Glam St, Seoul 04524",4,1200000,420,4.4,Verified,14,Asia; North America,8.7,93%,"Credit Card, KakaoPay",Medium,COSMOS Certified
S008,GourmetDelights,Italy,"505 Pasta Rd, Rome 00185",7,3500000,280,4.8,Verified,10,Europe,9.5,98%,"Credit Card, PayPal",Medium,FDA Approved
S009,ElectronicWizards,Japan,"606 Tech Ave, Tokyo 100-0005",11,9000000,1500,4.7,Verified,30,Worldwide,9.3,97%,"Credit Card, PayPal, Konbini",High,RoHS Compliant
S010,FashionForward,Spain,"707 Trendy St, Barcelona 08001",5,1800000,650,4.3,Verified,21,Europe; South America,8.6,94%,"Credit Card, PayPal",High,OEKO-TEX Certified
S011,OutdoorAdventures,Australia,"808 Bush Rd, Sydney NSW 2000",8,4200000,890,4.5,Verified,30,Oceania; Asia,8.8,95%,"Credit Card, PayPal, AfterPay",Medium,ISO 9001
S012,ArtisanCrafts,Mexico,"909 Creative Ln, Mexico City 06500",3,500000,180,4.6,Verified,14,North America; South America,9.1,96%,"Credit Card, PayPal",Low,Fair Trade Certified
S013,PetParadise,USA,"1010 Furry St, Los Angeles, CA 90001",6,2500000,720,4.4,Verified,30,North America,8.7,93%,"Credit Card, PayPal, Venmo",Medium,AAHA Accredited
S014,SmartHome Solutions,Netherlands,"1111 IoT Ave, Amsterdam 1012 JS",4,1500000,350,4.2,Verified,21,Europe,8.4,92%,"Credit Card, iDEAL",High,CE Certified
S015,VintageFinds,UK,"1212 Retro Rd, Manchester M1 1AD",9,800000,1100,4.7,Verified,14,Worldwide,9.0,97%,"Credit Card, PayPal",Medium,None
S016,FitnessFirst,USA,"1313 Muscle St, Miami, FL 33101",7,3800000,560,4.5,Verified,30,North America; Europe,8.9,95%,"Credit Card, PayPal, Apple Pay",High,NSF Certified
S017,EcoCleaners,Sweden,"1414 Green Blvd, Stockholm 111 44",5,1000000,220,4.8,Verified,21,Europe,9.4,98%,"Credit Card, Klarna",Medium,Nordic Swan Ecolabel
