Seller_ID,Company_Name,Years_Active,Country_of_Origin,Revenue_USD_Million,Number_of_Products,Average_Customer_Rating,Total_Reviews,Verified_Address,Return_Policy_Days,Customer_Service_Score,Shipping_Time_Days,Payment_Methods,Social_Media_Presence,Website_Security_Score,Complaints_Resolved_Percentage,Legitimacy_Score
1,TechGadgetPro,8,United States,15.2,1200,4.7,25000,Yes,30,9.2,3,5,Yes,95,98,92
2,FashionFever,5,United Kingdom,7.8,800,4.5,12000,Yes,14,8.8,4,4,Yes,90,95,88
3,HomeEssentials,12,Canada,22.5,1500,4.8,35000,Yes,60,9.5,2,6,Yes,98,99,95
4,SportsMaster,6,Australia,9.1,600,4.6,18000,Yes,30,9.0,3,5,Yes,92,97,90
5,BeautyBliss,3,France,4.2,400,4.3,8000,Yes,14,8.5,5,3,Yes,88,93,85
6,GourmetDelights,10,Italy,18.7,1000,4.9,30000,Yes,7,9.7,2,5,Yes,96,99,94
7,PetParadise,7,Germany,11.3,900,4.7,22000,Yes,30,9.3,3,4,Yes,94,98,91
8,EcoFriendlyGoods,4,Netherlands,6.5,500,4.4,10000,Yes,21,8.7,4,4,Yes,91,96,87
9,BargainBonanza,2,China,2.8,2000,3.9,5000,No,7,7.5,10,2,No,75,80,45
10,LuxuryLifestyle,9,Switzerland,30.1,300,4.8,15000,Yes,90,9.6,1,6,Yes,97,99,96
11,QuickShipDeals,1,Unknown,0.5,5000,3.2,1000,No,0,6.0,15,1,No,60,50,30
12,ElectronicEmporium,11,Japan,25.6,1800,4.7,40000,Yes,14,9.1,2,5,Yes,93,97,93
13,OutdoorAdventures,6,Sweden,8.9,700,4.5,16000,Yes,30,8.9,4,4,Yes,89,95,89
14,ArtisanCrafts,8,Spain,12.4,600,4.8,20000,Yes,21,9.4,3,5,Yes,92,98,92
15,DiscountKingdom,2,Malaysia,1.9,3000,3.5,3000,No,3,7.0,12,2,No,70,75,40
16,FitnessFirst,5,Brazil,7.2,400,4.4,11000,Yes,14,8.6,5,4,Yes,87,94,86
17,KidsCornerstoreKingdom,1,Unknown,0.3,1000,3.0,500,No,0,5.5,20,1,No,55,40,25
18,OfficeSupplyHQ,9,Canada,16.8,1300,4.6,28000,Yes,30,9.0,3,5,Yes,91,96,91
19,GreenThumbGarden,7,United Kingdom,10.5,800,4.7,19000,Yes,21,9.2,4,4,Yes,93,97,90
20,VintageFinds,4,France,5.6,300,4.5,9000,Yes,14,8.8,5,3,Yes,89,95,87
21,TechTreasures,3,South Korea,4.8,600,4.2,7000,Yes,14,8.4,6,3,Yes,86,92,84
22,FashionForward,6,Italy,9.7,1000,4.6,17000,Yes,30,9.1,3,5,Yes,92,97,90
23,HomeDecorDreams,8,Germany,13.9,900,4.7,24000,Yes,21,9.3,3,5,Yes,94,98,92
24,BargainBin,1,Unknown,0.2,4000,2.8,800,No,0,5.0,25,1,No,50,30,20
25,LuxuryTimepieces,10,Switzerland,28.3,200,4.9,12000,Yes,90,9.8,1,6,Yes,98,99,97
26,PetPampering,5,United States,7.6,500,4.5,13000,Yes,30,8.9,4,4,Yes,90,96,88
27,EcoEssentials,3,Netherlands,4.1,300,4.3,6000,Yes,21,8.6,5,3,Yes,88,94,86
28,GourmetGroceries,7,France,11.8,700,4.8,21000,Yes,7,9.5,2,5,Yes,95,98,93
29,SportsGearPro,9,Germany,17.2,1100,4.7,30000,Yes,30,9.2,3,5,Yes,93,97,92
30,BeautyBoutique,4,South Korea,6.3,400,4.4,10000,Yes,14,8.7,5,4,Yes,89,95,87
31,ElectronicsExpress,2,China,3.5,2500,3.7,4000,No,7,7.2,12,2,No,72,78,42
32,OutdoorEssentials,6,Sweden,9.4,600,4.6,16000,Yes,30,9.0,4,4,Yes,91,96,89
33,ArtisanAccessories,5,Italy,7.9,400,4.7,14000,Yes,21,9.1,3,4,Yes,92,97,90
34,DiscountDen,1,Unknown,0.4,3500,3.1,1200,No,3,6.5,18,1,No,65,60,35
35,FitnessGear,7,United States,12.1,800,4.6,22000,Yes,30,9.0,3,5,Yes,92,97,91
36,KidsKorner,4,United Kingdom,5.8,600,4.4,11000,Yes,14,8.8,4,4,Yes,90,95,88
37,OfficeOrganizers,8,Germany,14.5,1000,4.7,26000,Yes,30,9.2,3,5,Yes,93,98,92
38,GardenGuruStore,5,Netherlands,7.2,500,4.5,13000,Yes,21,8.9,4,4,Yes,91,96,89
39,VintageVault,3,France,4.6,300,4.3,8000,Yes,14,8.6,5,3,Yes,88,94,86
40,TechTrendsetters,6,Japan,10.8,900,4.6,19000,Yes,14,9.0,3,5,Yes,92,97,90
41,FashionFrenzy,4,Italy,6.7,700,4.4,12000,Yes,30,8.8,4,4,Yes,90,95,88
42,HomeSweetHomeDecor,7,Sweden,11.9,800,4.7,21000,Yes,21,9.3,3,5,Yes,94,98,92
43,BargainBazaar,1,Unknown,0.3,4500,2.9,900,No,0,5.2,22,1,No,55,35,25
44,LuxuryLeatherGoods,9,Italy,19.8,300,4.8,16000,Yes,60,9.6,2,6,Yes,96,99,95
45,PetPalace,5,United States,8.1,600,4.5,14000,Yes,30,8.9,4,4,Yes,91,96,89
46,EcoFriendlyFashion,3,Netherlands,4.3,400,4.3,7000,Yes,21,8.7,5,3,Yes,89,95,87
47,GourmetGadgets,6,Germany,10.2,500,4.7,18000,Yes,14,9.4,3,5,Yes,94,98,92
48,SportsSupremacy,8,United Kingdom,15.6,1000,4.7,28000,Yes,30,9.2,3,5,Yes,93,97,92
49,BeautyBargains,2,China,2.1,1800,3.6,3000,No,7,7.0,14,2,No,70,75,40
50,ElectronicEmpire,10,Japan,23.4,1600,4.8,35000,Yes,14,9.3,2,5,Yes,95,98,94
51,OutdoorOasis,5,Canada,7.8,500,4.5,13000,Yes,30,8.9,4,4,Yes,91,96,89
52,ArtisanAlley,4,Spain,6.1,300,4.6,11000,Yes,21,9.0,3,4,Yes,92,97,90
53,DiscountDiva,1,Unknown,0.5,2800,3.2,1500,No,3,6.8,16,1,No,68,65,38
54,FitnessFanatics,7,Australia,12.3,700,4.6,22000,Yes,30,9.1,3,5,Yes,93,97,91
55,KidsKingdom,6,United States,9.7,800,4.5,17000,Yes,14,8.9,4,4,Yes,91,96,89
56,OfficePro,9,Germany,16.9,1200,4.7,29000,Yes,30,9.3,3,5,Yes,94,98,93
57,GreenThumbGalore,4,Netherlands,5.9,400,4.4,10000,Yes,21,8.8,4,4,Yes,90,95,88
58,VintageVogue,3,France,4.2,250,4.3,7000,Yes,14,8.7,5,3,Yes,89,94,87
59,TechTitans,7,South Korea,13.5,1000,4.6,24000,Yes,14,9.1,3,5,Yes,93,97,91
60,FashionFusion,5,Italy,8.3,600,4.5,15000,Yes,30,9.0,4,4,Yes,92,96,90
61,HomeHarmonics,8,Sweden,14.7,900,4.7,26000,Yes,21,9.4,3,5,Yes,95,98,93
62,BargainBonanzaExpress,1,Unknown,0.4,3200,3.0,1100,No,0,5.5,20,1,No,58,40,28
63,LuxuryLinens,10,Egypt,21.6,400,4.8,18000,Yes,60,9.7,2,6,Yes,97,99,96
64,PetParadisePlus,6,United States,10.1,700,4.6,19000,Yes,30,9.2,3,5,Yes,93,97,91
65,EcoElegance,4,Denmark,6.5,350,4.4,11000,Yes,21,8.9,4,4,Yes,91,96,89
66,GourmetGalore,7,France,12.8,600,4.8,23000,Yes,14,9.5,2,5,Yes,95,98,93
67,SportsSpectacular,9,Germany,18.3,1300,4.7,32000,Yes,30,9.3,3,5,Yes,94,98,93
68,BeautyBonanza,3,South Korea,4.9,500,4.3,9000,Yes,14,8.6,5,3,Yes,88,94,86
69,ElectronicsEmporia,11,Japan,26.7,2000,4.8,45000,Yes,14,9.4,2,5,Yes,96,98,95
70,OutdoorOutfitters,6,Canada,9.6,650,4.5,17000,Yes,30,9.0,4,4,Yes,92,97,90
71,ArtisanAvenue,5,Spain,7.4,350,4.6,13000,Yes,21,9.1,3,4,Yes,93,97,91
72,DiscountDepot,2,China,2.6,2200,3.5,3500,No,7,7.1,13,2,No,71,76,41
73,FitnessFactory,8,United States,14.9,900,4.7,27000,Yes,30,9.2,3,5,Yes,94,98,92
74,KidsKornerKingdom,5,United Kingdom,7.8,700,4.5,14000,Yes,14,8.9,4,4,Yes,91,96,89
75,OfficeOasis,10,Germany,19.5,1400,4.8,34000,Yes,30,9.4,3,5,Yes,95,98,94
76,GardenGalaxy,4,Netherlands,5.7,450,4.4,10000,Yes,21,8.8,4,4,Yes,90,95,88
77,VintageVariety,3,France,4.1,280,4.3,7000,Yes,14,8.7,5,3,Yes,89,94,87
78,TechTrove,8,Taiwan,15.6,1100,4.7,28000,Yes,14,9.2,3,5,Yes,94,98,92
79,FashionFiesta,6,Italy,10.2,800,4.6,19000,Yes,30,9.1,
